Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,Battery Power ( voltage ),Cable Power ( voltage ),Chlorophyll ( RFU ),Chlorophyll ( µg/L ),Phycoerythrin ( RFU ),Phycoerythrin ( µg/L ),Phycoerythrin ( cells/mL ),Chlorophyll ( cells/mL ),Temp ( °C ),Cond ( µS/cm ),Sp Cond ( µS/cm ),Sal ( psu ),nLFCond ( µS/cm ),TDS ( mg/L ),Turbidity ( FNU ),TSS ( mg/L ),DO ( % Sat ),DO ( mg/L ),DO ( % CB ),Absolute Pressure ( psi a ),Depth ( m ),Vertical Position ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma ),Water Density ( Sigma-T ),Fault Code
10/22/2023,12:39:29 PM,0,ROK1,5.95,0,0.21,0.6,-0.14,-2.79,0,0,9.071,31602.5,45425.2,29.2,46226.8,29526,0.46,0,95.8,9.16,100,6.683,4.595,4.55,32,22.6,22.6,0
10/22/2023,12:39:30 PM,0,ROK1,5.95,0,0.16,0.39,-0.31,-3.24,0,0,9.087,31599.3,45397.4,29.18,46198.7,29508,0.44,0,95.7,9.15,99.9,6.532,4.491,4.46,32,22.6,22.6,0
10/22/2023,12:39:31 PM,0,ROK1,5.95,0,0.14,0.3,-0.44,-3.6,0,0,9.101,31597.4,45378.8,29.17,46179.8,29496,0.49,0,95.6,9.14,99.8,6.396,4.398,4.365,32,22.6,22.5,0
10/22/2023,12:39:32 PM,0,ROK1,5.95,0,0.14,0.33,-0.35,-3.35,0,0,9.113,31573.2,45327.7,29.13,46127.9,29463,0.51,0,95.5,9.12,99.7,6.256,4.302,4.255,32,22.5,22.5,0
10/22/2023,12:39:33 PM,0,ROK1,5.95,0,0.13,0.28,-0.31,-3.26,0,0,9.123,31496.4,45205.4,29.04,46003.6,29384,0.55,0,95.4,9.12,99.6,6.087,4.186,4.158,32,22.5,22.4,0
10/22/2023,12:39:34 PM,0,ROK1,5.95,0,0.16,0.39,-0.26,-3.1,0,0,9.122,31479.3,45180.8,29.03,45978.6,29368,0.56,0,95.2,9.1,99.4,5.962,4.1,4.06,32,22.5,22.4,0
10/22/2023,12:39:35 PM,0,ROK1,5.95,0,0.17,0.43,-0.28,-3.16,0,0,9.116,31482.3,45193.2,29.03,45991.1,29376,0.53,0,94.9,9.08,99.1,5.802,3.99,3.954,32,22.5,22.4,0
10/22/2023,12:39:36 PM,0,ROK1,5.95,0,0.16,0.38,-0.4,-3.49,0,0,9.112,31453.2,45155.6,29.01,45952.8,29351,0.64,0,94.7,9.06,98.9,5.649,3.885,3.845,32,22.4,22.4,0
10/22/2023,12:39:37 PM,0,ROK1,5.95,0,0.16,0.41,-0.29,-3.2,0,0,9.108,31382.6,45060.1,28.94,45855.5,29289,0.66,0,94.7,9.06,98.9,5.482,3.77,3.733,32,22.4,22.4,0
10/22/2023,12:39:38 PM,0,ROK1,5.95,0,0.22,0.62,-0.24,-3.06,0,0,9.092,31282.3,44931.8,28.85,45725,29206,0.59,0,94.5,9.05,98.7,5.338,3.671,3.633,32,22.3,22.3,0
10/22/2023,12:39:39 PM,0,ROK1,5.95,0,0.2,0.54,-0.44,-3.62,0,0,9.067,31232.6,44894.8,28.82,45687,29182,0.58,0,94.3,9.03,98.4,5.119,3.521,3.455,32,22.3,22.3,0
10/22/2023,12:39:40 PM,0,ROK1,5.95,0,0.14,0.31,-0.38,-3.43,0,0,9.029,31208.1,44901.1,28.82,45693.1,29186,0.56,0,94.1,9.02,98.2,4.894,3.366,3.331,32,22.3,22.3,0
10/22/2023,12:39:41 PM,0,ROK1,5.95,0,0.13,0.29,-0.17,-2.86,0,0,8.997,31201.2,44936.5,28.84,45728.8,29209,0.57,0,94,9.02,98.1,4.753,3.269,3.24,32,22.3,22.3,0
10/22/2023,12:39:42 PM,0,ROK1,5.95,0,0.15,0.34,-0.25,-3.08,0,0,8.969,31198.4,44962.3,28.86,45754.9,29226,0.65,0,94,9.03,98.2,4.606,3.167,3.106,32,22.3,22.3,0
10/22/2023,12:39:43 PM,0,ROK1,5.95,0,0.14,0.3,-0.38,-3.44,0,0,8.947,31192.3,44985.4,28.88,45778.1,29240,0.65,0,94.1,9.03,98.2,4.365,3.002,2.957,32,22.4,22.3,0
10/22/2023,12:39:44 PM,0,ROK1,5.95,0,0.15,0.34,-0.39,-3.46,0,0,8.927,31186.8,44998.6,28.88,45791.4,29249,0.56,0,94,9.03,98.1,4.185,2.878,2.838,32,22.4,22.3,0
10/22/2023,12:39:45 PM,0,ROK1,5.95,0,0.13,0.27,-0.35,-3.36,0,0,8.912,31172.5,45000.6,28.88,45793.2,29250,0.54,0,94,9.03,98.1,4.003,2.753,2.708,32,22.4,22.3,0
10/22/2023,12:39:46 PM,0,ROK1,5.95,0,0.13,0.26,-0.23,-3.03,0,0,8.897,31160.7,45000,28.88,45792.4,29250,0.62,0,94,9.04,98.1,3.827,2.632,2.592,32,22.4,22.3,0
10/22/2023,12:39:47 PM,0,ROK1,5.95,0,0.19,0.5,0.13,-2,0,0,8.885,31156.2,45010.7,28.89,45803.1,29257,0.58,0,93.9,9.03,98.1,3.64,2.503,2.457,32,22.4,22.4,0
10/22/2023,12:39:48 PM,0,ROK1,5.95,0,0.2,0.54,0.09,-2.12,0,0,8.872,31144.9,45009.9,28.89,45802.3,29256,0.59,0,93.9,9.04,98.1,3.457,2.378,2.324,32,22.4,22.4,0
10/22/2023,12:39:49 PM,0,ROK1,5.95,0,0.19,0.53,-0.25,-3.08,0,0,8.86,31129.7,45001,28.88,45793,29251,0.63,0,93.9,9.04,98,3.261,2.243,2.22,32,22.4,22.4,0
10/22/2023,12:39:50 PM,0,ROK1,5.95,0,0.15,0.37,-0.29,-3.19,0,0,8.848,31120,45004.2,28.88,45796.1,29253,0.62,0,93.9,9.04,98,3.151,2.167,2.125,32,22.4,22.4,0
10/22/2023,12:39:51 PM,0,ROK1,5.95,0,0.11,0.2,-0.14,-2.77,0,0,8.834,31106.4,44998.9,28.88,45790.6,29249,0.62,0,93.9,9.04,98,2.944,2.025,1.969,32,22.4,22.4,0
10/22/2023,12:39:52 PM,0,ROK1,5.95,0,0.12,0.22,-0.2,-2.95,0,0,8.823,31097.4,45002.8,28.88,45794.5,29252,0.59,0,93.9,9.05,98,2.741,1.885,1.838,32,22.4,22.4,0
